GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Households
HC01_MOE_VC01,Total; Margin of Error; Households
HC02_EST_VC01,Percent; Estimate; Households
HC02_MOE_VC01,Percent; Margin of Error; Households
HC03_EST_VC01,Households receiving food stamps/SNAP; Estimate; Households
HC03_MOE_VC01,Households receiving food stamps/SNAP; Margin of Error; Households
HC04_EST_VC01,Percent households receiving food stamps/SNAP; Estimate; Households
HC04_MOE_VC01,Percent households receiving food stamps/SNAP; Margin of Error; Households
HC05_EST_VC01,Households not receiving food stamps/SNAP; Estimate; Households
HC05_MOE_VC01,Households not receiving food stamps/SNAP; Margin of Error; Households
HC06_EST_VC01,Percent households not receiving food stamps/SNAP; Estimate; Households
HC06_MOE_VC01,Percent households not receiving food stamps/SNAP; Margin of Error; Households
HC01_EST_VC02,Total; Estimate; With one or more people in the household 60 years and over
HC01_MOE_VC02,Total; Margin of Error; With one or more people in the household 60 years and over
HC02_EST_VC02,Percent; Estimate; With one or more people in the household 60 years and over
HC02_MOE_VC02,Percent; Margin of Error; With one or more people in the household 60 years and over
HC03_EST_VC02,Households receiving food stamps/SNAP; Estimate; With one or more people in the household 60 years and over
HC03_MOE_VC02,Households receiving food stamps/SNAP; Margin of Error; With one or more people in the household 60 years and over
HC04_EST_VC02,Percent households receiving food stamps/SNAP; Estimate; With one or more people in the household 60 years and over
HC04_MOE_VC02,Percent households receiving food stamps/SNAP; Margin of Error; With one or more people in the household 60 years and over
HC05_EST_VC02,Households not receiving food stamps/SNAP; Estimate; With one or more people in the household 60 years and over
HC05_MOE_VC02,Households not receiving food stamps/SNAP; Margin of Error; With one or more people in the household 60 years and over
HC06_EST_VC02,Percent households not receiving food stamps/SNAP; Estimate; With one or more people in the household 60 years and over
HC06_MOE_VC02,Percent households not receiving food stamps/SNAP; Margin of Error; With one or more people in the household 60 years and over
HC01_EST_VC03,Total; Estimate; No people in the household 60 years and over
HC01_MOE_VC03,Total; Margin of Error; No people in the household 60 years and over
HC02_EST_VC03,Percent; Estimate; No people in the household 60 years and over
HC02_MOE_VC03,Percent; Margin of Error; No people in the household 60 years and over
HC03_EST_VC03,Households receiving food stamps/SNAP; Estimate; No people in the household 60 years and over
HC03_MOE_VC03,Households receiving food stamps/SNAP; Margin of Error; No people in the household 60 years and over
HC04_EST_VC03,Percent households receiving food stamps/SNAP; Estimate; No people in the household 60 years and over
HC04_MOE_VC03,Percent households receiving food stamps/SNAP; Margin of Error; No people in the household 60 years and over
HC05_EST_VC03,Households not receiving food stamps/SNAP; Estimate; No people in the household 60 years and over
HC05_MOE_VC03,Households not receiving food stamps/SNAP; Margin of Error; No people in the household 60 years and over
HC06_EST_VC03,Percent households not receiving food stamps/SNAP; Estimate; No people in the household 60 years and over
HC06_MOE_VC03,Percent households not receiving food stamps/SNAP; Margin of Error; No people in the household 60 years and over
HC01_EST_VC06,Total; Estimate; HOUSEHOLD TYPE - Married-couple family
HC01_MOE_VC06,Total; Margin of Error; HOUSEHOLD TYPE - Married-couple family
HC02_EST_VC06,Percent; Estimate; HOUSEHOLD TYPE - Married-couple family
HC02_MOE_VC06,Percent; Margin of Error; HOUSEHOLD TYPE - Married-couple family
HC03_EST_VC06,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Married-couple family
HC03_MOE_VC06,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Married-couple family
HC04_EST_VC06,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Married-couple family
HC04_MOE_VC06,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Married-couple family
HC05_EST_VC06,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Married-couple family
HC05_MOE_VC06,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Married-couple family
HC06_EST_VC06,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Married-couple family
HC06_MOE_VC06,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Married-couple family
HC01_EST_VC07,Total; Estimate; HOUSEHOLD TYPE - Other family:
HC01_MOE_VC07,Total; Margin of Error; HOUSEHOLD TYPE - Other family:
HC02_EST_VC07,Percent; Estimate; HOUSEHOLD TYPE - Other family:
HC02_MOE_VC07,Percent; Margin of Error; HOUSEHOLD TYPE - Other family:
HC03_EST_VC07,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family:
HC03_MOE_VC07,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family:
HC04_EST_VC07,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family:
HC04_MOE_VC07,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family:
HC05_EST_VC07,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family:
HC05_MOE_VC07,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family:
HC06_EST_VC07,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family:
HC06_MOE_VC07,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family:
HC01_EST_VC08,"Total; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC01_MOE_VC08,"Total; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC02_EST_VC08,"Percent; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC02_MOE_VC08,"Percent; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC03_EST_VC08,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC03_MOE_VC08,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC04_EST_VC08,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC04_MOE_VC08,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC05_EST_VC08,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC05_MOE_VC08,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC06_EST_VC08,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC06_MOE_VC08,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC01_EST_VC09,"Total; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC01_MOE_VC09,"Total; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC02_EST_VC09,"Percent; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC02_MOE_VC09,"Percent; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC03_EST_VC09,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC03_MOE_VC09,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC04_EST_VC09,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC04_MOE_VC09,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC05_EST_VC09,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC05_MOE_VC09,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC06_EST_VC09,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC06_MOE_VC09,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC01_EST_VC10,Total; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC01_MOE_VC10,Total; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC02_EST_VC10,Percent; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC02_MOE_VC10,Percent; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC03_EST_VC10,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC03_MOE_VC10,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC04_EST_VC10,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC04_MOE_VC10,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC05_EST_VC10,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC05_MOE_VC10,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC06_EST_VC10,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC06_MOE_VC10,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC01_EST_VC11,Total; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC01_MOE_VC11,Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC02_EST_VC11,Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC02_MOE_VC11,Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC03_EST_VC11,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC03_MOE_VC11,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC04_EST_VC11,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC04_MOE_VC11,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC05_EST_VC11,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC05_MOE_VC11,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC06_EST_VC11,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC06_MOE_VC11,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC01_EST_VC12,Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC01_MOE_VC12,Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC02_EST_VC12,Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC02_MOE_VC12,Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC03_EST_VC12,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC03_MOE_VC12,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC04_EST_VC12,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC04_MOE_VC12,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC05_EST_VC12,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC05_MOE_VC12,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC06_EST_VC12,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC06_MOE_VC12,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC01_EST_VC13,Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC01_MOE_VC13,Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC02_EST_VC13,Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC02_MOE_VC13,Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC03_EST_VC13,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC03_MOE_VC13,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC04_EST_VC13,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC04_MOE_VC13,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC05_EST_VC13,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC05_MOE_VC13,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC06_EST_VC13,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC06_MOE_VC13,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC01_EST_VC14,"Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC01_MOE_VC14,"Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC02_EST_VC14,"Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC02_MOE_VC14,"Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC03_EST_VC14,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC03_MOE_VC14,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC04_EST_VC14,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC04_MOE_VC14,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC05_EST_VC14,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC05_MOE_VC14,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC06_EST_VC14,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC06_MOE_VC14,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC01_EST_VC15,"Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC01_MOE_VC15,"Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC02_EST_VC15,"Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC02_MOE_VC15,"Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC03_EST_VC15,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC03_MOE_VC15,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC04_EST_VC15,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC04_MOE_VC15,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC05_EST_VC15,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC05_MOE_VC15,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC06_EST_VC15,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC06_MOE_VC15,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC01_EST_VC16,Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC01_MOE_VC16,Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC02_EST_VC16,Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
