Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Top of the Hill](https://www.apartments.com/top-of-the-hill-temple-hills-md/x7re58m/),571-290-7089,"[3200 Curtis Dr, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3200+Curtis+Dr,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",680 - 715 Sq Ft,"$868 - 1,198","* Gas, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
We have ample unreserved spaces on our surface lots. There is also some public street parking nearby on Curtis Drive. RESIDENTS parked in our lots must display a current community-issued permit at all times. VISITORS may park anywhere on-site from 7:00AM - 11:00 PM, after which they must park in our marked visitor spaces located throughout, or use off-site public parking (local laws apply).","* Fitness Center
* Pool","* Disposal
* Kitchen
* Range",,"* High Speed Internet Access
* Air Conditioning
* Cable Ready
* Satellite TV","* Hardwood Floors
* Carpet",12 months (6 months avail. - call for details),"* Laundry Facilities
* Recycling
* Laundry Service","* Built in 1968
* 440 Units/9 Stories",* Elevator,* Balcony,,"Top of the Hill in the Hillcrest Heights neighborhood in Temple Hills, MD offers big and bright studio, 1 and 2 bedrooms apartments. We’re at the center of everything you need. Very close to many bus, rail & highway transit options. MetroBus C12 stops here, one block to C14, H11 and H12, and a 10-minute walk to Naylor Rd. MetroRail station (green line). 5 minutes to Suitland Parkway and I-495/I-95. 10 minutes to I-295 and Andrews and Bolling Air Force Base. 15 minutes to DC, the Pentagon, the US Capitol or National Harbor. 5 minutes to Iverson Mall and Marlow Heights Shopping Center, as well as grocery stores and everyday shopping and services. 5 minutes to Hillcrest Heights Recreation Center. Apartment features include a large living area with space for lots of furniture, separate dining area, great storage, large covered balcony or patio, and natural light from large windows (we provide blinds throughout). Gas and electricity is included in your rent – you pay water/sewer. Cats are welcome. Property features include two elevators in each building, large swimming pool with sundeck, trash chute room on each floor, mail delivery and huge central laundry in each building, on-site management office and 24-hour emergency maintenance. For more information and availability, visit www.livetopofthehill.com."
[Chestnut Hill](https://www.apartments.com/chestnut-hill-temple-hills-md/fe9703r/),844-891-4624,"[3907 23rd Pky, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3907+23rd+Pky,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",665 Sq Ft,"$870 - 1,198",* Trash Removal: Included,"* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
Unreserved spaces on our surface lots. Residents parked in our lots must display a current community issued permit at all times. Visitors may park anywhere on our surface lots from 6AM - 10PM, after which they must park in our designated spaces.","* Pool
* Playground
* Basketball Court
* Tennis Court","* Dishwasher
* Disposal
* Kitchen",,"* High Speed Internet Access
* Washer/Dryer Hookup
* Heating
* Ceiling Fans
* Satellite TV",,12 months (6 months avail. - call for details),"* Laundry Facilities
* Maintenance on site
* Laundry Service","* Built in 1963
* 298 Units/3 Stories",,* Sundeck,,"Chestnut Hill in the Hillcrest Heights neighborhood of Temple Hills, MD offers spacious studio, 1, 2 and 3 bedroom apartments. We’re at the center of everything you need. Our apartments are close to Washington DC and Alexandria, VA, as well as public transit. The MetroBus C12 stops here and one block to P12, H1 & H2. 5 minutes to Naylor Road or Southern Avenue MetroRail stations (green line). 5 minutes to Suitland Parkway and 10 minutes to I-295 or I-495/I-95. Minutes to Iverson Mall and Marlow Heights Shopping Center. Only 10 minutes to Joint Bases Andrews and Bolling, the Pentagon, U.S. Capitol and National Harbor. We are moments to grocery stores, everyday shopping and services, and parks and recreation including Oxon Hill Stream Valley Park, Hillcrest Heights Recreation Center, and North Barnaby Splash Park. Apartment amenities include a large living space with room for lots of furniture, galley-style kitchen, natural light from large windows (we provide blinds throughout), views of green lawns or trees, and central heat and air conditioning, Utilities are not included in your rent – you pay for gas, electricity, and water/sewer. Cats are welcome. Property features include a relaxing pool with sundeck, two play areas, 21 laundries on-site and mail delivery inside each building, on-site management office and 24-hour emergency maintenance. For more information and availability, visit www.chestnuthillapts.com."
[Iverson Towers & Anton House](https://www.apartments.com/iverson-towers-anton-house-temple-hills-md/ksqsqj8/),844-891-5710,"[4301 23rd Pky, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4301+23rd+Pky,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",640 - 660 Sq Ft,"$948 - 1,546","* Gas, Electricity, Heat, Trash Removal, Air Conditioning: Included","* Admin Fee: $100
* Application Fee: $50",No Pets Allowed,50,50,"Surface Lot
Ample, free unreserved spaces. Anton House has public street parking very close. Residents parked in our lots must display a community-issued permit at all times. Visitor parking available - ask for details.",* Pool,* Kitchen,,"* High Speed Internet Access
* Heating
* Satellite TV",* Views,12 months (6 months avail. - call for details),"* Laundry Facilities
* Laundry Service","* Built in 1967
* 333 Units/11 Stories",,,,"Iverson Towers and Anton House located in the Hillcrest Heights neighborhood in Temple Hills, MD offers studio, 1, 2 and 3 bedroom apartments. We’re at the center of everything you need. Public transit as at your doorstep – MetroBus H11 and H12 stop at Iverson Towers and just 5 minutes to the Naylor Road MetroRail station (green line). 5-10 minutes to Suitland Parkway, I-495/I-95, I-295, Suitland Federal Center and Census Bureau. 15 minutes to the Pentagon, US Capitol, National Harbor, and Joint Base Bolling & Andrews Air Force Base. And in the neighborhood you’ll find great schools, grocery stores, shopping, parks and recreation. Apartment features include a large living area with room for lots of furniture, separate dining area, patio and balcony available in some apartments, wonderful natural light from large windows (we provide blinds throughout), and central heat & air conditioning. Gas and electricity are included in your rent – you pay water/sewer. Cats are welcome. Property features include a relaxing pool with sundeck at Iverson Towers for residents of both communities, welcoming lobbies, telephone entry system, big central laundry and mail delivery in each building, on-site management and 24-hour emergency maintenance. For more information and availability, visit www.iversontowers-antonhouse.com."
[Marlborough House](https://www.apartments.com/marlborough-house-hillcrest-heights-md/hl55tn3/),844-767-1712,"[3001 Branch Ave, Hillcrest Heights, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/3001+Branch+Ave,+Hillcrest+Heights,+MD+20748/data=!4m2!4m1!3e2)",598 - 714 Sq Ft,"$1,100 - 1,755","* Cat Rent: $40
* Dog Rent: $50
* Gas, Water, Electricity, Heat, Trash Removal: Included","* Application Fee: $25
* Cat Deposit: $200
* Dog Deposit: $200","Dogs Allowed
Dogs 
* $200 Deposit
* $50 Monthly Pet Rent
* 25 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space.","* Fitness Center
* Pool","* Dishwasher
* Disposal
* Kitchen
* Range","* Balcony
* Cable, Central A/C, Disposal, Gas Stove, Internet
* Ceiling Fans
* Ceramic Bathroom Tile
* Community Room
* Free Utilities
* Free Window Coverings Provided
* Frost-Free Refrigerators
* Furnishings Available
* Gated Community
* Hardwood Floors
* Metro Green Line
* Military Housing
* Mini-Mart On-Site
* Package Acceptance
* Satellite Television Available
* Wall-To-Wall Carpeting
* Wood Cabinetry","* High Speed Internet Access
* Air Conditioning
* Heating
* Ceiling Fans
* Cable Ready
* Tub/Shower","* Hardwood Floors
* Carpet
* Dining Room
* Walk-In Closets
* Window Coverings",12,"* Laundry Facilities
* Concierge","* Built in 1964
* 337 Units/9 Stories",,* Gated,,"Your balcony at Marlborough House Apartments in Hillcrest Heights, MD, overlooks beautiful lush parkland. You wouldn't believe that Capitol Hill and Metro Rail are just minutes away. Amenities at this house are numerous, including private parking, community room, exercise gym and a pool."
[South Pointe](https://www.apartments.com/south-pointe-temple-hills-md/krjkpqc/),844-834-0067,"[2603 Southern Ave, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2603+Southern+Ave,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",592 Sq Ft,"$1,000 - 1,320","* Gas, Electricity: Included",* Application Fee: $44,No Pets Allowed,50,50,"Surface Lot
Parking Available",,"* Range
* Refrigerator","* Air Conditioner
* Modern Kitchen Appliances","* Air Conditioning
* Heating
* Ceiling Fans",,12 months,* Maintenance on site,"* Built in 1949
* Renovated in Jan 2004
* 390 Units/4 Stories",,,,"At South Pointe Apartments, youll find comfort in your spacious apartment home and its park-like setting. Live at South Pointe Apartments and a world of convenience is just beyond your doorstep. Groceries are just five minutes away and the Beltway is closer than that. Shopping, dining, entertainment whatever youre up for, is right around the corner at Iverson Mall, Tanger Outlets and the ultimate destination of all: National Harbor. On the military side, Joint Bases Andrews and Anacostia-Bolling are an easy commute. And, thanks to the Southern Avenue and Naylor Road Metro stations being within walking distance, so is downtown DC. For comfort, convenience and that feeling that says youre home, these are the apartments in Temple Hills, MD for you."
[Forest Hill Apartments](https://www.apartments.com/forest-hill-apartments-oxon-hill-md/zf743cx/),240-724-4918,"[1439 Southern Ave, Oxon Hill, MD 20745](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/1439+Southern+Ave,+Oxon+Hill,+MD+20745/data=!4m2!4m1!3e2)",720 Sq Ft,"$1,117 - 1,812","* Cat Rent: $35
* Dog Rent: $35
* Gas, Water, Electricity, Heat, Trash Removal, Sewer: Included","* Application Fee: $35
* Cat Deposit: $300
* Dog Deposit: $300","Dogs Allowed
* $300 Deposit
* $35 Monthly Pet Rent
* 40 lb Weight Limit
* 2 Pet Limit",50,50,"Surface Lot
1 space. Parking Available","* Pool
* Playground
* Basketball Court","* Dishwasher
* Disposal
* Kitchen
* Range",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Ceiling Fans
* Smoke Free
* Cable Ready
* Alarm
* Tub/Shower","* Carpet
* Tile Floors
* Dining Room
* Den
* Walk-In Closets
* Window Coverings",,"* Controlled Access
* Maintenance on site
* Property Manager on Site
* 24 Hour Availability","* Built in 1965
* 350 Units/3 Stories",,* Sundeck,,"Forest Hill Apartments is a beautifully landscaped property just minutes from DC. Directly across the street from the United Medical Center, public transportation picks up and drops off on the property. Enjoy our selection of oversized one, two, and three-bedroom apartments, each floorplan is also available with an additional den. Wall-to-wall carpeting, and a mix of ceramic and vinyl tile complement the floors. We also offer dishwashers, gas ranges, and frost-free freezers, private balconies or patios available in every apartment, are just some of the benefits of living in our large park-like community. Beautiful on-site swimming pool available during the summer months. 24-hour maintenance with live operators for after-hours. Friendly and courteous staff."
[2301 Olson St Unit 302](https://www.apartments.com/2301-olson-st-temple-hills-md-unit-302/5phh8dq/),,"[2301 Olson St, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2301+Olson+St,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",,"$1,350",,,,50,50,Other,,"* Dishwasher
* Kitchen",,"* Washer/Dryer
* Air Conditioning",,,,,,,![Primary Photo - 2301 Olson St](https://images1.apartments.com/i2/NVtVsfWsofOirqx1o_uvNNW354MTJOg16ocpFnOoMYM/117/2301-olson-st-unit-302-temple-hills-md-primary-photo.jpg) ,A Lovely top floor unit with 2 bedrooms secured front entrance walk in closet full bath table space kitchen large living-dining area washer-dryer balcony assigned parking and extra storage in building. Minutes from Naylor Road & Suitland Subway Stations. Also minutes away from Tanger Outlets National Harbor and MGM... This will not last long. This Listing is for Sale.
[4109 Blacksnake Dr](https://www.apartments.com/4109-blacksnake-dr-temple-hills-md/qlkgfyx/),,"[4109 Blacksnake Dr, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/4109+Blacksnake+Dr,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",,"$1,995",,,,50,50,,,* Eat-in Kitchen,,* Air Conditioning,"* Dining Room
* Basement",,,* Lot Size: 0.18 AC,,,![Primary Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/9BZM1ey21xfngqT2CRUhQH6vMpzhhOrtnldLCDFoszs/117/4109-blacksnake-dr-temple-hills-md-primary-photo.jpg) ![Building Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/SUvkCOTNmfZBSnPt74U86lfFH44sXvLoe395cP87VrY/117/4109-blacksnake-dr-temple-hills-md-building-photo.jpg) ![Building Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/5mbUHZ-QVMLHyTe4s1IThEWEHCPFtuW7szaj1x8ECqg/117/4109-blacksnake-dr-temple-hills-md-building-photo.jpg) ![Building Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/B5tIS6YhHtpkCzSi-kk4vFU0scUztnBghYesglGpgQQ/117/4109-blacksnake-dr-temple-hills-md-building-photo.jpg) ![Building Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/jfD4TpeL5DEunafnfChMrgQnp62Rgak8XJrRVte7ReE/117/4109-blacksnake-dr-temple-hills-md-building-photo.jpg) ![Building Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/5bt3Fa_GJCIccrSLxT1-QK4sbK5pP-E7e4ggVG-9BBQ/117/4109-blacksnake-dr-temple-hills-md-building-photo.jpg) ![Building Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/Zq2q6kZ4OQVJ805FNzfUFRUWFJ5iVY8o4BI_W8eEUUA/117/4109-blacksnake-dr-temple-hills-md-building-photo.jpg) ![Building Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/WYVq0XsC_N1eiDZDdUFrOz7GlNcO-HgWaqBGpOmRc9s/117/4109-blacksnake-dr-temple-hills-md-building-photo.jpg) ![Building Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/WoX2R8At2BOOlLhMh9onAlvTD5ZKCl6_LK6a1Xiewio/117/4109-blacksnake-dr-temple-hills-md-building-photo.jpg) ![Building Photo - 4109 Blacksnake Dr](https://images1.apartments.com/i2/Kn0JHcs5txsX9iXBOCICCbW7GsraU9XDlbG9n6GhdSM/117/4109-blacksnake-dr-temple-hills-md-building-photo.jpg) ,Nice & spacious Rental.. Features Incl.. Nice Hardwood floors.. Full fin bsmt & brick fireplace & rear Enclosed porch...& fenced in rear yard..OWNER REQUEST GOOD CREDIT ONLY....
[2800 Iverson St Unit 85](https://www.apartments.com/2800-iverson-st-temple-hills-md-unit-85/j19cg04/),,"[2800 Iverson St, Temple Hills, MD 20748](https://www.google.com/maps/dir/(paste+your+address+here,+it+should+be+however+google+formats+it,+for+example+for+the+Empire+State+Building+use+350+5th+Ave+New+York,+NY+10118)/2800+Iverson+St,+Temple+Hills,+MD+20748/data=!4m2!4m1!3e2)",,"$1,350",,,,50,50,Other,,"* Kitchen
* Refrigerator",,* Air Conditioning,,,,,,,![Primary Photo - 2800 Iverson St](https://images1.apartments.com/i2/yIyirlsX2r9wZ1mp8vCjky_aR2ngVdlGpoGkbDKUGyA/117/2800-iverson-st-unit-85-temple-hills-md-primary-photo.jpg) ![Building Photo - 2800 Iverson St](https://images1.apartments.com/i2/TBiwGlc43t_YTvYLO42TCguro4eTWnEeCfCloM16RXU/117/2800-iverson-st-unit-85-temple-hills-md-building-photo.jpg) ![Building Photo - 2800 Iverson St](https://images1.apartments.com/i2/_2PAHkLsoiLiOlSruRq6wJQc_J8tdoSwIkhO7AJQyYE/117/2800-iverson-st-unit-85-temple-hills-md-building-photo.jpg) ![Building Photo - 2800 Iverson St](https://images1.apartments.com/i2/T780OELWACXffL7jHdLlydy0SNqwQsmc_KdCBOZAdzU/117/2800-iverson-st-unit-85-temple-hills-md-building-photo.jpg) ![Building Photo - 2800 Iverson St](https://images1.apartments.com/i2/_MQGj66v1-YVkqLdVoPd4Zpx6VgkjpGv6LHwa81OMI4/117/2800-iverson-st-unit-85-temple-hills-md-building-photo.jpg) ![Building Photo - 2800 Iverson St](https://images1.apartments.com/i2/rEbbTLQoYgmVGLHzNL0vDUKMuW-tayoRYRlSMWPtjgw/117/2800-iverson-st-unit-85-temple-hills-md-building-photo.jpg) ![Building Photo - 2800 Iverson St](https://images1.apartments.com/i2/qe-4RmuiYG9GoudnxBce8ACJN4CtLbK3zpJQF1bwy9M/117/2800-iverson-st-unit-85-temple-hills-md-building-photo.jpg) ![Building Photo - 2800 Iverson St](https://images1.apartments.com/i2/MgfTq_Ugr0jI9tCDzHnQcA_JanL3eSleafcxmlNjZUg/117/2800-iverson-st-unit-85-temple-hills-md-building-photo.jpg) ![Building Photo - 2800 Iverson St](https://images1.apartments.com/i2/1eFY67xWLbXk1hgJbuVyxPPA9cHlZbF7k32o9bkE4QQ/117/2800-iverson-st-unit-85-temple-hills-md-building-photo.jpg) ,Newly updated 2BR/1BA near transportation Iverson Mall and minutes to DC line. New updated kitchen with stainless steel stove new counter tops and back splash. Hardwood floors in living area and dining area. Upstairs two bedrooms and updated bathroom. Move in ready for you! Call for appointment.
